ac_no,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date
129,Kultali (SC),KULTALI (SC),AITC,Ganesh Chandra Mondal,117238,51.57,BJP,Mintu Halder,70061,30.82,47177,20.75,AITC Bloc,BJP,6 April 2021
130,Patharpratima,PATHARPRATIMA,AITC,Samir Kumar Jana,120181,51.85,BJP,Asit Kumar Haldar,98047,42.3,22134,9.550000000000004,AITC Bloc,BJP,1 April 2021
131,Kakdwip,KAKDWIP,AITC,Manturam Pakhira,114493,52.14,BJP,Dipankar Jana,89191,40.62,25302,11.520000000000003,AITC Bloc,BJP,1 April 2021
132,Sagar,SAGAR,AITC,Bankim Chandra Hazra,129000,53.96,BJP,Kamila Bikash,99154,41.48,29846,12.480000000000004,AITC Bloc,BJP,1 April 2021
133,Kulpi,KULPI,AITC,Jogaranjan Halder,96577,50.01,BJP,Pranab Kumar Mallik,62759,32.5,33818,17.509999999999998,AITC Bloc,BJP,6 April 2021
134,Raidighi,RAIDIGHI,AITC,Aloke Jaldata,115707,48.47,BJP,Santanu Bapuli,80139,33.57,35568,14.899999999999999,AITC Bloc,BJP,6 April 2021
135,Mandirbazar (SC),MANDIRBAZAR (SC),AITC,Joydeb Halder,95834,48.04,BJP,Dilip Kumar Jatua,72342,36.26,23492,11.780000000000001,AITC Bloc,BJP,6 April 2021
136,Jaynagar (SC),JAYNAGAR (SC),AITC,Biswanath Das,104952,51.85,BJP,Rabin Sardar,66269,32.74,38683,19.11,AITC Bloc,BJP,6 April 2021
137,Baruipur Purba (SC),BARUIPUR PURBA (SC),AITC,Bivas Sardar (Vobo),123243,54.75,BJP,Chandan Mondal,73602,32.7,49641,22.049999999999997,AITC Bloc,BJP,6 April 2021
138,Canning Paschim (SC),CANNING PASCHIM (SC),AITC,Paresh Ram Das,111059,50.86,BJP,Arnab Roy,75816,34.72,35243,16.14,AITC Bloc,BJP,6 April 2021
139,Canning Purba,CANNING PURBA,AITC,Saokat Molla,122301,52.54,ISF,Gazi Shahabuddin Siraji,69294,29.77,53007,22.77,AITC Bloc,Left-Cong-ISF Bloc,6 April 2021
140,Baruipur Paschim,BARUIPUR PASCHIM,AITC,Biman Banerjee,121006,57.27,BJP,Debopam Chattopadhyaya (Babu),59096,27.97,61910,29.300000000000004,AITC Bloc,BJP,6 April 2021
141,Magrahat Purba (SC),MAGRAHAT PURBA (SC),AITC,Namita Saha,110945,53.82,BJP,Chandan Kumar Naskar,56866,27.58,54079,26.240000000000002,AITC Bloc,BJP,6 April 2021
142,Magrahat Paschim,MAGRAHAT PASCHIM,AITC,Gias Uddin Molla,97006,49.93,BJP,Dhurjati Saha (Manas),50065,25.77,46941,24.16,AITC Bloc,BJP,6 April 2021
143,Diamond Harbour,DIAMOND HARBOUR,AITC,Pannalal Halder,98478,43.69,BJP,Dipak Kumar Halder,81482,36.15,16996,7.539999999999999,AITC Bloc,BJP,6 April 2021
144,Falta,FALTA,AITC,Sankar Kumar Naskar,117179,56.35,BJP,Bidhan Parui,76405,36.75,40774,19.6,AITC Bloc,BJP,6 April 2021
145,Satgachia,SATGACHIA,AITC,Mohan Chandra Naskar,118635,50.37,BJP,Chandan Pal,95317,40.47,23318,9.899999999999999,AITC Bloc,BJP,6 April 2021
146,Bishnupur (South 24 Parganas) (SC),BISHNUPUR (SOUTH 24 PARGANAS) (SC),AITC,Dilip Mondal,136509,57.46,BJP,Agniswar Naskar,77677,32.7,58832,24.759999999999998,AITC Bloc,BJP,6 April 2021
