phase,district,ac_no,ac_name_pdf,male_electors,female_electors,third_gender_electors,total_electors,female_share,male_share,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date,other_pct,base_aitc_bloc_pct,base_bjp_pct,base_left_cong_isf_bloc_pct,base_others_pct,is_close_seat,seat_size_band
1,Malda,44,GAZOLE (SC),129859,125223,3,255085,0.4909069525844326,0.5090812866299469,Gazole (SC),GAZOLE (SC),BJP,Chinmoy Deb Barman,100655,45.5,AITC,Basanti Barman,98857,44.69,1798,0.8100000000000023,BJP,AITC Bloc,26 April 2021,9.810000000000002,44.69,45.5,0.0,9.810000000000002,True,Very Large
1,Malda,45,CHANCHAL,126863,117560,5,244428,0.48095962819316934,0.5190199158852504,Chanchal,CHANCHAL,AITC,Nihar Ranjan Ghosh,115966,58.08,BJP,Dipankar Ram,48628,24.35,67338,33.73,AITC Bloc,BJP,26 April 2021,17.57,58.08,24.35,0.0,17.57,False,Large
1,Malda,46,HARISCHANDRA-PUR,126029,112818,3,238850,0.47233828762821856,0.5276491521875654,Harishchandrapur,HARISHCHANDRAPUR,AITC,Tajmul Hossain,122527,60.31,BJP,Matibur Rahaman,45054,22.18,77473,38.13,AITC Bloc,BJP,26 April 2021,17.509999999999998,60.31,22.18,0.0,17.509999999999998,False,Large
1,Malda,47,MALATIPUR,113524,99158,9,212691,0.46620684467137774,0.5337508404210803,Malatipur,MALATIPUR,AITC,Abdur Rahim Boxi,126157,68.02,BJP,Mousumi Das,34208,18.44,91949,49.58,AITC Bloc,BJP,26 April 2021,13.540000000000003,68.02,18.44,0.0,13.540000000000003,False,Small
1,Malda,48,RATUA,130127,116413,7,246547,0.47217366262822097,0.52779794521937,Ratua,RATUA,AITC,Samar Mukherjee,130674,59.63,BJP,Abhishek Singhania,55024,25.11,75650,34.52,AITC Bloc,BJP,26 April 2021,15.259999999999998,59.63,25.11,0.0,15.259999999999998,False,Large
1,Malda,49,MANICKCHAK,124739,111024,2,235765,0.47090959217865247,0.529081924797998,Manikchak,MANIKCHAK,AITC,Sabitri Mitra,110234,53.26,BJP,Gour Chandra Mandal,76356,36.89,33878,16.369999999999997,AITC Bloc,BJP,29 April 2021,9.850000000000001,53.26,36.89,0.0,9.850000000000001,False,Medium
1,Malda,50,MALDAHA (SC),117002,114341,5,231348,0.4942381174680568,0.5057402700693328,Maldaha,MALDAHA,BJP,Gopal Chandra Saha,93398,45.23,AITC,Ujjwal Kumar Chowdhury,77942,37.75,15456,7.479999999999997,BJP,AITC Bloc,29 April 2021,17.020000000000003,37.75,45.23,0.0,17.020000000000003,False,Medium
1,Malda,51,ENGLISH BAZAR,123959,125171,7,249137,0.5024183481377716,0.4975535548714161,English Bazar,ENGLISH BAZAR,BJP,Sreerupa Mitra Chaudhury,107755,49.96,AITC,Krishnendu Narayan Choudhury,87656,40.64,20099,9.32,BJP,AITC Bloc,29 April 2021,9.399999999999999,40.64,49.96,0.0,9.399999999999999,False,Large
1,Malda,52,MOTHABARI,86660,82681,6,169347,0.4882342173171063,0.5117303524715525,Mothabari,MOTHABARI,AITC,Yeasmin Sabina,97397,59.7,BJP,Shyamchand Ghosh,40824,25.02,56573,34.68000000000001,AITC Bloc,BJP,29 April 2021,15.279999999999998,59.7,25.02,0.0,15.279999999999998,False,Small
1,Malda,53,SUJAPUR,120729,115707,7,236443,0.4893653015737408,0.510605092982241,Sujapur,SUJAPUR,AITC,Md. Abdul Ghani,152445,73.44,INC,Isha Khan Choudhury,22282,10.73,130163,62.709999999999994,AITC Bloc,Left-Cong-ISF Bloc,29 April 2021,15.830000000000002,73.44,0.0,10.73,15.830000000000002,False,Large
